фсб - uah => -22921955,usd=>249200, eur=>0 
макс одесса приходы  - uah => 0,usd=>0, eur=>0 
кондики - uah => 0,usd=>0, eur=>0 
стельмах москва приходы  - uah => 0,usd=>0, eur=>0 
нал киев приходы1 - uah => 0,usd=>0, eur=>0 
корчаг - uah => 0,usd=>0, eur=>0 
птичка грн до 08,08 приходы  - uah => 0,usd=>0, eur=>0 
несвер аким приходы  - uah => 0,usd=>0, eur=>0 
х5 - uah => 0,usd=>0, eur=>0 
старов расч приходы  - uah => 0,usd=>0, eur=>0 
универсалцентр приходы  - uah => 0,usd=>0, eur=>0 
ск кредит приходы  - uah => 0,usd=>0, eur=>0 
шипко - uah => 0,usd=>0, eur=>0 
сертификаты - uah => 0,usd=>0, eur=>0 
днепродзержинск приходы  - uah => 0,usd=>0, eur=>0 
полимаш приходы  - uah => 0,usd=>0, eur=>0 
ника - uah => 0,usd=>0, eur=>0 
паша кредит - uah => 0,usd=>0, eur=>0 
принцип приходы  - uah => 0,usd=>0, eur=>0 
лена н - uah => 0,usd=>0, eur=>0 
пожарная машина - uah => 0,usd=>0, eur=>0 
Акустика приходы  - uah => 0,usd=>0, eur=>0 
евпатория - uah => 0,usd=>0, eur=>0 
семья приходы  - uah => 0,usd=>0, eur=>0 
гена полт приходы  - uah => 0,usd=>0, eur=>0 
томаты - uah => 0,usd=>0, eur=>0 
макс одесса - uah => 0,usd=>0, eur=>0 
литейная - uah => 0,usd=>0, eur=>0 
герасим - uah => 0,usd=>0, eur=>0 
филипка вал стар приходы  - uah => 0,usd=>0, eur=>0 
квартиры симферополь - uah => 0,usd=>0, eur=>0 
бук приходы  - uah => 0,usd=>0, eur=>0 
алена - uah => 0,usd=>0, eur=>0 
спарта глеб - uah => 0,usd=>0, eur=>0 
к либ 18 - uah => 0,usd=>0, eur=>0 
вестас приходы  - uah => 0,usd=>0, eur=>0 
стандарт - uah => 0,usd=>0, eur=>0 
оранж приходы  - uah => 0,usd=>0, eur=>0 
св - uah => 0,usd=>0, eur=>0 
хм приходы  - uah => 0,usd=>0, eur=>0 
филипка грн стар - uah => 0,usd=>0, eur=>0 
строй сверена - uah => 0,usd=>0, eur=>0 
калошин проект - uah => 0,usd=>0, eur=>0 
Сухарев приходы  - uah => 0,usd=>0, eur=>0 
пт грн - uah => 0,usd=>0, eur=>0 
уставник - uah => 0,usd=>0, eur=>0 
фомин вал - uah => 0,usd=>0, eur=>0 
макс москва - uah => 0,usd=>0, eur=>0 
укрстрой - uah => 0,usd=>0, eur=>0 
сверка - uah => 0,usd=>0, eur=>0 
лира приходы  - uah => 0,usd=>0, eur=>0 
 - uah => 0,usd=>0, eur=>0 
инициатива приходы  - uah => 0,usd=>0, eur=>0 
вторекс  приходы  - uah => 0,usd=>0, eur=>0 
борис иван приходы  - uah => 0,usd=>0, eur=>0 
колошин - uah => 0,usd=>0, eur=>0 
соколов кредит - uah => 0,usd=>0, eur=>0 
комуна - uah => 0,usd=>0, eur=>0 
сер ив приходы  - uah => 0,usd=>0, eur=>0 
цветы1 - uah => 0,usd=>0, eur=>0 
метком приходы - uah => 0,usd=>0, eur=>0 
рокер алюм - uah => 0,usd=>0, eur=>0 
вихров кредит - uah => 0,usd=>0, eur=>0 
нат черток - uah => 0,usd=>0, eur=>0 
макс карп - uah => 0,usd=>0, eur=>0 
бессм приходы - uah => 0,usd=>0, eur=>0 
Агалар - uah => 0,usd=>0, eur=>0 
приват скеля - uah => 0,usd=>0, eur=>0 
транзит до2.12 - uah => 0,usd=>0, eur=>0 
козюк - uah => 0,usd=>0, eur=>0 
фомин приходы  - uah => 0,usd=>0, eur=>0 
стас кредит приходы  - uah => 0,usd=>0, eur=>0 
уставный фонд - uah => 0,usd=>0, eur=>0 
фарго - uah => 0,usd=>0, eur=>0 
вск - uah => 0,usd=>0, eur=>0 
оля касса - uah => 0,usd=>0, eur=>0 
лира доки приходы  - uah => 0,usd=>0, eur=>0 
нал валюта - uah => 0,usd=>0, eur=>0 
форст - uah => 0,usd=>0, eur=>0 
рост сверка - uah => 0,usd=>0, eur=>0 
рената приходы  - uah => 0,usd=>0, eur=>0 
шипко приходы  - uah => 0,usd=>0, eur=>0 
депозиты фсб - uah => 0,usd=>0, eur=>0 
каневск приходы  - uah => 0,usd=>0, eur=>0 
прк грн приходы  - uah => 0,usd=>0, eur=>0 
алена приходы  - uah => 0,usd=>0, eur=>0 
паша земля Мудрак - uah => 0,usd=>0, eur=>0 
рокер не сверен - uah => 0,usd=>0, eur=>0 
таня фонд - uah => 0,usd=>0, eur=>0 
торгсервис приходы  - uah => 0,usd=>0, eur=>0 
квартира космед - uah => 0,usd=>0, eur=>0 
нерасч игорь торговец приходы  - uah => 0,usd=>0, eur=>0 
неля - uah => 0,usd=>0, eur=>0 
прк - uah => 0,usd=>0, eur=>0 
денис вал приходы  - uah => 0,usd=>0, eur=>0 
восток приходы  - uah => 0,usd=>0, eur=>0 
тихо приходы  - uah => 0,usd=>0, eur=>0 
тимур - uah => 0,usd=>0, eur=>0 
Наташа литье - uah => 0,usd=>0, eur=>0 
Куры аким приходы  - uah => 0,usd=>0, eur=>0 
эдик от зельд приходы  - uah => 0,usd=>0, eur=>0 
бук1 сверен приходы  - uah => 0,usd=>0, eur=>0 
петя водит - uah => 0,usd=>0, eur=>0 
аренда конкорд - uah => 0,usd=>0, eur=>0 
хакер кредит - uah => 0,usd=>0, eur=>0 
стар генна полт - uah => 0,usd=>0, eur=>0 
юра сигма - uah => 0,usd=>0, eur=>0 
мазут - uah => 0,usd=>0, eur=>0 
шрубик приходы - uah => 0,usd=>0, eur=>0 
вика киф - uah => 0,usd=>0, eur=>0 
птичка вал сверено приходы  - uah => 0,usd=>0, eur=>0 
мицык приходы  - uah => 0,usd=>0, eur=>0 
гарантия брил приходы  - uah => 0,usd=>0, eur=>0 
арбуз - uah => 0,usd=>0, eur=>0 
рсу - uah => 0,usd=>0, eur=>0 
надя приходы  - uah => 0,usd=>0, eur=>0 
велеш приходы - uah => 0,usd=>0, eur=>0 
женя киев - uah => 0,usd=>0, eur=>0 
птичка грн сверка - uah => 0,usd=>0, eur=>0 
уст фонд - uah => 0,usd=>0, eur=>0 
валютка - uah => 0,usd=>0, eur=>0 
аким - uah => 0,usd=>0, eur=>0 
серг макс - uah => 0,usd=>0, eur=>0 
артем приходы  - uah => 0,usd=>0, eur=>0 
казинский - uah => 0,usd=>0, eur=>0 
атлас - uah => 0,usd=>0, eur=>0 
эдик от зельд грн - uah => 0,usd=>0, eur=>0 
саня - uah => 0,usd=>0, eur=>0 
спектр - uah => 0,usd=>0, eur=>0 
фагор приходы  - uah => 0,usd=>0, eur=>0 
павел - uah => 0,usd=>0, eur=>0 
рост  приходы  - uah => 0,usd=>0, eur=>0 
лайт приходы  - uah => 0,usd=>0, eur=>0 
медлайн приходы  - uah => 0,usd=>0, eur=>0 
кредит сигма - uah => 0,usd=>0, eur=>0 
дельфин - uah => 0,usd=>0, eur=>0 
сверен витал грн приходы  - uah => 0,usd=>0, eur=>0 
Аня до 13,10 приходы  - uah => 0,usd=>0, eur=>0 
челси - uah => 0,usd=>0, eur=>0 
андр вип сверено приходы  - uah => 0,usd=>0, eur=>0 
олег сигма приходы  - uah => 0,usd=>0, eur=>0 
радк - uah => 0,usd=>0, eur=>0 
людв приходы  - uah => 0,usd=>0, eur=>0 
старов приходы  - uah => 0,usd=>0, eur=>0 
пптичка грн приходы  - uah => 0,usd=>0, eur=>0 
св приходы  - uah => 0,usd=>0, eur=>0 
евроас приходы - uah => 0,usd=>0, eur=>0 
продмаш приходы  - uah => 0,usd=>0, eur=>0 
риша приходы  - uah => 0,usd=>0, eur=>0 
степная приходы  - uah => 0,usd=>0, eur=>0 
вад - uah => 0,usd=>0, eur=>0 
биотех - uah => 0,usd=>0, eur=>0 
2гена полт - uah => 0,usd=>0, eur=>0 
фастов приходы  - uah => 0,usd=>0, eur=>0 
таурег кредит - uah => 0,usd=>0, eur=>0 
сема - uah => 0,usd=>0, eur=>0 
рост сверка приходы  - uah => 0,usd=>0, eur=>0 
киев филиал - uah => 0,usd=>0, eur=>0 
ксюха приходы  - uah => 0,usd=>0, eur=>0 
аукцион хм - uah => 0,usd=>0, eur=>0 
филин сверено 17,06-29,07 приходы  - uah => 0,usd=>0, eur=>0 
индустрия приходы  - uah => 0,usd=>0, eur=>0 
валер григ приходы  - uah => 0,usd=>0, eur=>0 
рокер не сверен приходы  - uah => 0,usd=>0, eur=>0 
богдан приходы  - uah => 0,usd=>0, eur=>0 
дон - uah => 0,usd=>0, eur=>0 
беликов дск приходы  - uah => 0,usd=>0, eur=>0 
орион приходы  - uah => 0,usd=>0, eur=>0 
конь приходы  - uah => 0,usd=>0, eur=>0 
валя 90 - uah => 0,usd=>0, eur=>0 
пптичка грн - uah => 0,usd=>0, eur=>0 
кт приходы  - uah => 0,usd=>0, eur=>0 
юм приходы  - uah => 0,usd=>0, eur=>0 
паша проекты - uah => 0,usd=>0, eur=>0 
ашот стар - uah => 0,usd=>0, eur=>0 
ангел приходы  - uah => 0,usd=>0, eur=>0 
2 андр приходы  - uah => 0,usd=>0, eur=>0 
промресурсы - uah => 0,usd=>0, eur=>0 
ванда приходы - uah => 0,usd=>0, eur=>0 
энергия - uah => 0,usd=>0, eur=>0 
триумф - uah => 0,usd=>0, eur=>0 
нагорный квартира - uah => 0,usd=>0, eur=>0 
будинвест приходы  - uah => 0,usd=>0, eur=>0 
ленчик - uah => 0,usd=>0, eur=>0 
лена н приходы  - uah => 0,usd=>0, eur=>0 
андрей рига приходы  - uah => 0,usd=>0, eur=>0 
покрытие - uah => 0,usd=>0, eur=>0 
ложемент - uah => 0,usd=>0, eur=>0 
ратуш - uah => 0,usd=>0, eur=>0 
катя рокер - uah => 0,usd=>0, eur=>0 
лена зао - uah => 0,usd=>0, eur=>0 
оперный - uah => 0,usd=>0, eur=>0 
макс москва приходы  - uah => 0,usd=>0, eur=>0 
вика киф жизнь - uah => 0,usd=>0, eur=>0 
лакш приходы  - uah => 0,usd=>0, eur=>0 
эдвард - uah => 0,usd=>0, eur=>0 
самойл транзит приходы  - uah => 0,usd=>0, eur=>0 
коллет приходы  - uah => 0,usd=>0, eur=>0 
обмен сверено13,08 - uah => 0,usd=>0, eur=>0 
вн грн приходы  - uah => 0,usd=>0, eur=>0 
баррикадная расселение - uah => 0,usd=>0, eur=>0 
стиль италия - uah => 0,usd=>0, eur=>0 
эксклюзив - uah => 0,usd=>0, eur=>0 
филин сверено 09,09, приходы  - uah => 0,usd=>0, eur=>0 
глюк приходы  - uah => 0,usd=>0, eur=>0 
андр запорож - uah => 0,usd=>0, eur=>0 
земля киев - uah => 0,usd=>0, eur=>0 
виталик - uah => 0,usd=>0, eur=>0 
ашот стар приходы  - uah => 0,usd=>0, eur=>0 
секрет лиля приходы - uah => 0,usd=>0, eur=>0 
прод приходы  - uah => 0,usd=>0, eur=>0 
ярослав приходы  - uah => 0,usd=>0, eur=>0 
кредиты фсб - uah => 0,usd=>0, eur=>0 
гарантия брил - uah => 0,usd=>0, eur=>0 
король старый - uah => 0,usd=>0, eur=>0 
денис приходы  - uah => 0,usd=>0, eur=>0 
лена бат1  прих - uah => 0,usd=>0, eur=>0 
киев приходы  - uah => 0,usd=>0, eur=>0 
три к приходы  - uah => 0,usd=>0, eur=>0 
неля приходы  - uah => 0,usd=>0, eur=>0 
киевляне приходы  - uah => 0,usd=>0, eur=>0 
откаты пхт приходы  - uah => 0,usd=>0, eur=>0 
Аня до 13,10 - uah => 0,usd=>0, eur=>0 
старов кредит - uah => 0,usd=>0, eur=>0 
саня приходы  - uah => 0,usd=>0, eur=>0 
слава банк приходы  - uah => 0,usd=>0, eur=>0 
транзит не сверен - uah => 0,usd=>0, eur=>0 
мостобуд ндс - uah => 0,usd=>0, eur=>0 
рост экспо приходы - uah => 0,usd=>0, eur=>0 
вьетнам - uah => 0,usd=>0, eur=>0 
боря киев - uah => 0,usd=>0, eur=>0 
володарского приходы - uah => 0,usd=>0, eur=>0 
Куры аким - uah => 0,usd=>0, eur=>0 
андр бмв приходы  - uah => 0,usd=>0, eur=>0 
гончара - uah => 0,usd=>0, eur=>0 
топ вал - uah => 0,usd=>0, eur=>0 
сема приходы  - uah => 0,usd=>0, eur=>0 
оодиссей приходы  - uah => 0,usd=>0, eur=>0 
несвер аким - uah => 0,usd=>0, eur=>0 
папа приходы  - uah => 0,usd=>0, eur=>0 
оля чоп приходы  - uah => 0,usd=>0, eur=>0 
площадка артема - uah => 0,usd=>0, eur=>0 
гена союз приходы1  - uah => 0,usd=>0, eur=>0 
одиссей вал приходы  - uah => 0,usd=>0, eur=>0 
свеча - uah => 0,usd=>0, eur=>0 
валерий самс - uah => 0,usd=>0, eur=>0 
плитка - uah => 0,usd=>0, eur=>0 
леша сережа - uah => 0,usd=>0, eur=>0 
авто-тригуб - uah => 0,usd=>0, eur=>0 
сергей - uah => 0,usd=>0, eur=>0 
лариса гбв - uah => 0,usd=>0, eur=>0 
киевские малышки - uah => 0,usd=>0, eur=>0 
слава колокол - uah => 0,usd=>0, eur=>0 
спарта лиценз приходы  - uah => 0,usd=>0, eur=>0 
степная - uah => 0,usd=>0, eur=>0 
ГУФМ ОСНОВНАЯ %% - uah => 0,usd=>0, eur=>0 
мик - uah => 0,usd=>0, eur=>0 
полт вал приходы  - uah => 0,usd=>0, eur=>0 
немец - uah => 0,usd=>0, eur=>0 
стельмах москва - uah => 0,usd=>0, eur=>0 
страховая  уф - uah => 0,usd=>0, eur=>0 
дон приходы  - uah => 0,usd=>0, eur=>0 
макс бмб - uah => 0,usd=>0, eur=>0 
хм кредит - uah => 0,usd=>0, eur=>0 
полис - uah => 0,usd=>0, eur=>0 
инна одесса приходы  - uah => 0,usd=>0, eur=>0 
Саша Донецк приходы  - uah => 0,usd=>0, eur=>0 
диана одесса - uah => 0,usd=>0, eur=>0 
максим киев приходы  - uah => 0,usd=>0, eur=>0 
неизвестно - uah => 0,usd=>0, eur=>0 
витал грн свер на 25,11,08 - uah => 0,usd=>0, eur=>0 
1транзит - uah => 0,usd=>0, eur=>0 
радио кредит - uah => 0,usd=>0, eur=>0 
чоп - uah => 0,usd=>0, eur=>0 
олег сосед - uah => 0,usd=>0, eur=>0 
вова приходы - uah => 0,usd=>0, eur=>0 
Кондиционеры - uah => 0,usd=>0, eur=>0 
строй сверена приходы  - uah => 0,usd=>0, eur=>0 
диагностика - uah => 0,usd=>0, eur=>0 
ал1 - uah => 0,usd=>0, eur=>0 
Глеб - uah => 0,usd=>0, eur=>0 
софья приходы  - uah => 0,usd=>0, eur=>0 
куа расходы касса - uah => 0,usd=>0, eur=>0 
спарта не сверено приходы  - uah => 0,usd=>0, eur=>0 
валер запорож - uah => 0,usd=>0, eur=>0 
проня - uah => 0,usd=>0, eur=>0 
затраты цб - uah => 0,usd=>0, eur=>0 
несвер андр запорож приходы  - uah => 0,usd=>0, eur=>0 
стельмах - uah => 0,usd=>0, eur=>0 
2 андр - uah => 0,usd=>0, eur=>0 
крым 18сот - uah => 0,usd=>0, eur=>0 
ал приходы  - uah => 0,usd=>0, eur=>0 
вн грн - uah => 0,usd=>0, eur=>0 
диана одесса прих - uah => 0,usd=>0, eur=>0 
инвойс - uah => 0,usd=>0, eur=>0 
глеб жора приходы  - uah => 0,usd=>0, eur=>0 
конкорд техника с фсб - uah => 0,usd=>0, eur=>0 
гарант стрелки приход - uah => 0,usd=>0, eur=>0 
боря киев приходы  - uah => 0,usd=>0, eur=>0 
малахова авто - uah => 0,usd=>0, eur=>0 
женя расчет - uah => 0,usd=>0, eur=>0 
рамета приходы  - uah => 0,usd=>0, eur=>0 
андрон сверен приходы  - uah => 0,usd=>0, eur=>0 
подшипник приходы  - uah => 0,usd=>0, eur=>0 
метро - uah => 0,usd=>0, eur=>0 
Сухарев - uah => 0,usd=>0, eur=>0 
агро костя - uah => 0,usd=>0, eur=>0 
топ вал приходы  - uah => 0,usd=>0, eur=>0 
света нов приходы  - uah => 0,usd=>0, eur=>0 
одиссей вал - uah => 0,usd=>0, eur=>0 
усат подотчет - uah => 0,usd=>0, eur=>0 
валера лиля - uah => 0,usd=>0, eur=>0 
прк схема - uah => 0,usd=>0, eur=>0 
валюта конкорд - uah => 0,usd=>0, eur=>0 
бендера приходы  - uah => 0,usd=>0, eur=>0 
каролина - uah => 0,usd=>0, eur=>0 
донецк сверено - uah => 0,usd=>0, eur=>0 
боря фби - uah => 0,usd=>0, eur=>0 
земля граница - uah => 0,usd=>0, eur=>0 
лэп - uah => 0,usd=>0, eur=>0 
страховая - uah => 0,usd=>0, eur=>0 
кирилл - uah => 0,usd=>0, eur=>0 
король приходы  - uah => 0,usd=>0, eur=>0 
кск - uah => 0,usd=>0, eur=>0 
автопилот приходы  - uah => 0,usd=>0, eur=>0 
бук сверен - uah => 0,usd=>0, eur=>0 
полимаш - uah => 0,usd=>0, eur=>0 
миша грн до 10,09 приходы  - uah => 0,usd=>0, eur=>0 
стельм альба - uah => 0,usd=>0, eur=>0 
конь кредит приходы  - uah => 0,usd=>0, eur=>0 
стрелки приходы  - uah => 0,usd=>0, eur=>0 
камета приходы - uah => 0,usd=>0, eur=>0 
ол приходы  - uah => 0,usd=>0, eur=>0 
каменка - uah => 0,usd=>0, eur=>0 
клуб - uah => 0,usd=>0, eur=>0 
гончаров - uah => 0,usd=>0, eur=>0 
вика торговец - uah => 0,usd=>0, eur=>0 
киевгорстрой - uah => 0,usd=>0, eur=>0 
олег сигма - uah => 0,usd=>0, eur=>0 
надя расчет приходы  - uah => 0,usd=>0, eur=>0 
крым - uah => 0,usd=>0, eur=>0 
доброе дело приходы  - uah => 0,usd=>0, eur=>0 
инна одесса - uah => 0,usd=>0, eur=>0 
ав - uah => 0,usd=>0, eur=>0 
астарта приходы  - uah => 0,usd=>0, eur=>0 
здание конкорд - uah => 0,usd=>0, eur=>0 
гуфм приходы - uah => 0,usd=>0, eur=>0 
зельдин приходы  - uah => 0,usd=>0, eur=>0 
депозиты сигма - uah => 0,usd=>0, eur=>0 
ск - uah => 0,usd=>0, eur=>0 
мокряков победа - uah => 0,usd=>0, eur=>0 
германия депозит - uah => 0,usd=>0, eur=>0 
марина киев приходы - uah => 0,usd=>0, eur=>0 
лизинг приходы  - uah => 0,usd=>0, eur=>0 
прк валюта приходы  - uah => 0,usd=>0, eur=>0 
фарго приходы  - uah => 0,usd=>0, eur=>0 
бук сверен приходы  - uah => 0,usd=>0, eur=>0 
озеро - uah => 0,usd=>0, eur=>0 
люкс - uah => 0,usd=>0, eur=>0 
продмаш - uah => 0,usd=>0, eur=>0 
вихрь - uah => 0,usd=>0, eur=>0 
авалон приходы  - uah => 0,usd=>0, eur=>0 
филипская - uah => 0,usd=>0, eur=>0 
бычок - uah => 0,usd=>0, eur=>0 
тимур приходы  - uah => 0,usd=>0, eur=>0 
турч дом - uah => 0,usd=>0, eur=>0 
петек - uah => 0,usd=>0, eur=>0 
беликов  приходы - uah => 0,usd=>0, eur=>0 
синицкий акции - uah => 0,usd=>0, eur=>0 
юля каранга - uah => 0,usd=>0, eur=>0 
гена союз приходы приходы  - uah => 0,usd=>0, eur=>0 
макс под отчет приходы  - uah => 0,usd=>0, eur=>0 
борис иван - uah => 0,usd=>0, eur=>0 
птичка - uah => 0,usd=>0, eur=>0 
цветы1 приходы  - uah => 0,usd=>0, eur=>0 
рената - uah => 0,usd=>0, eur=>0 
сет старая - uah => 0,usd=>0, eur=>0 
игорь расчет - uah => 0,usd=>0, eur=>0 
мазурка - uah => 0,usd=>0, eur=>0 
павлоград филиал - uah => 0,usd=>0, eur=>0 
стас сквош - uah => 0,usd=>0, eur=>0 
лира доки - uah => 0,usd=>0, eur=>0 
вистас приходы  - uah => 0,usd=>0, eur=>0 
таня балатон приходы  - uah => 0,usd=>0, eur=>0 
олег кид приходы  - uah => 0,usd=>0, eur=>0 
ФЕЛИКС - uah => 0,usd=>0, eur=>0 
покрытие приходы  - uah => 0,usd=>0, eur=>0 
парад приходы  - uah => 0,usd=>0, eur=>0 
оля корч приходы  - uah => 0,usd=>0, eur=>0 
рома приходы  - uah => 0,usd=>0, eur=>0 
днепродзержинск - uah => 0,usd=>0, eur=>0 
внешторг приходы  - uah => 0,usd=>0, eur=>0 
аня приходы  - uah => 0,usd=>0, eur=>0 
юра прогонка приходы  - uah => 0,usd=>0, eur=>0 
юг сталь приходы  - uah => 0,usd=>0, eur=>0 
боря проф приходы  - uah => 0,usd=>0, eur=>0 
людв - uah => 0,usd=>0, eur=>0 
тестовая - uah => 0,usd=>0, eur=>0 
нерасч игорь - uah => 0,usd=>0, eur=>0 
валентин нвс - uah => 0,usd=>0, eur=>0 
дима москва приходы  - uah => 0,usd=>0, eur=>0 
гриша юмз - uah => 0,usd=>0, eur=>0 
сергей лифты - uah => 0,usd=>0, eur=>0 
гарик приходы  - uah => 0,usd=>0, eur=>0 
армада аня приходы  - uah => 0,usd=>0, eur=>0 
оля белый чай приходы  - uah => 0,usd=>0, eur=>0 
сергей тимур - uah => 0,usd=>0, eur=>0 
камета - uah => 0,usd=>0, eur=>0 
птичка грн до 08,08 - uah => 0,usd=>0, eur=>0 
софтпресс - uah => 0,usd=>0, eur=>0 
влад имд - uah => 0,usd=>0, eur=>0 
денис сверено приходы  - uah => 0,usd=>0, eur=>0 
донецк приходы  - uah => 0,usd=>0, eur=>0 
спарта лиценз - uah => 0,usd=>0, eur=>0 
женя фом - uah => 0,usd=>0, eur=>0 
свер андр запорож - uah => 0,usd=>0, eur=>0 
конкорд техника - uah => 0,usd=>0, eur=>0 
птичка вал приходы  - uah => 0,usd=>0, eur=>0 
алюмаш приходы  - uah => 0,usd=>0, eur=>0 
бендера - uah => 0,usd=>0, eur=>0 
сер  макс - uah => 0,usd=>0, eur=>0 
казинский приходы  - uah => 0,usd=>0, eur=>0 
спектр приходы  - uah => 0,usd=>0, eur=>0 
конь кредит - uah => 0,usd=>0, eur=>0 
алла ремстрой приходы  - uah => 0,usd=>0, eur=>0 
тощ2 приходы  - uah => 0,usd=>0, eur=>0 
ав приходы  - uah => 0,usd=>0, eur=>0 
вася латвия приходы  - uah => 0,usd=>0, eur=>0 
усат бензин - uah => 0,usd=>0, eur=>0 
ррокер - uah => 0,usd=>0, eur=>0 
игорь расчет приходы  - uah => 0,usd=>0, eur=>0 
айс приходы  - uah => 0,usd=>0, eur=>0 
таня банк приходы - uah => 0,usd=>0, eur=>0 
нетканные материалы приходы  - uah => 0,usd=>0, eur=>0 
омега катя приходы  - uah => 0,usd=>0, eur=>0 
прк грн - uah => 0,usd=>0, eur=>0 
куа остатки касса - uah => 0,usd=>0, eur=>0 
каролина приходы  - uah => 0,usd=>0, eur=>0 
евгений - uah => 0,usd=>0, eur=>0 
стар генна полт приходы  - uah => 0,usd=>0, eur=>0 
каневск - uah => 0,usd=>0, eur=>0 
вал слава - uah => 0,usd=>0, eur=>0 
спарта глеб приходы  - uah => 0,usd=>0, eur=>0 
проектор - uah => 0,usd=>0, eur=>0 
слава приходы  - uah => 0,usd=>0, eur=>0 
сверен гарик приходы  - uah => 0,usd=>0, eur=>0 
спарта приходы  - uah => 0,usd=>0, eur=>0 
богдан - uah => 0,usd=>0, eur=>0 
лиля сверено на01,08 - uah => 0,usd=>0, eur=>0 
облигации - uah => 0,usd=>0, eur=>0 
птичка вал 05,08-22,08 приходы  - uah => 0,usd=>0, eur=>0 
авр - uah => 0,usd=>0, eur=>0 
аким 90 - uah => 0,usd=>0, eur=>0 
кт - uah => 0,usd=>0, eur=>0 
интер приходы  - uah => 0,usd=>0, eur=>0 
артем1 - uah => 0,usd=>0, eur=>0 
мишалов - uah => 0,usd=>0, eur=>0 
сет приходы  - uah => 0,usd=>0, eur=>0 
ЦБ сигма - uah => 0,usd=>0, eur=>0 
архитектура - uah => 0,usd=>0, eur=>0 
знак - uah => 0,usd=>0, eur=>0 
расч приходы  - uah => 0,usd=>0, eur=>0 
андрей рига - uah => 0,usd=>0, eur=>0 
таня орион приходы  - uah => 0,usd=>0, eur=>0 
ск3 приходы  - uah => 0,usd=>0, eur=>0 
училище - uah => 0,usd=>0, eur=>0 
катя рокер приходы  - uah => 0,usd=>0, eur=>0 
андрей харьков - uah => 0,usd=>0, eur=>0 
ппрограмма - uah => 0,usd=>0, eur=>0 
китай - uah => 0,usd=>0, eur=>0 
корчаг зп - uah => 0,usd=>0, eur=>0 
розин - uah => 0,usd=>0, eur=>0 
фоменко женя приходы - uah => 0,usd=>0, eur=>0 
станислава - uah => 0,usd=>0, eur=>0 
петя зп - uah => 0,usd=>0, eur=>0 
прокоп приходы  - uah => 0,usd=>0, eur=>0 
стас - uah => 0,usd=>0, eur=>0 
юрий сергеевич - uah => 0,usd=>0, eur=>0 
чип - uah => 0,usd=>0, eur=>0 
автоцентр - uah => 0,usd=>0, eur=>0 
митра транзит - uah => 0,usd=>0, eur=>0 
майя приходы  - uah => 0,usd=>0, eur=>0 
цб риб - uah => 0,usd=>0, eur=>0 
атлас пр - uah => 0,usd=>0, eur=>0 
андр фобос - uah => 0,usd=>0, eur=>0 
павин - uah => 0,usd=>0, eur=>0 
старов кредит приходы  - uah => 0,usd=>0, eur=>0 
март приходы  - uah => 0,usd=>0, eur=>0 
тамара приходы  - uah => 0,usd=>0, eur=>0 
бат приходы  - uah => 0,usd=>0, eur=>0 
домициляция - uah => 0,usd=>0, eur=>0 
зао - uah => 0,usd=>0, eur=>0 
корчаг приходы  - uah => 0,usd=>0, eur=>0 
полт грн - uah => 0,usd=>0, eur=>0 
приходы аня - uah => 0,usd=>0, eur=>0 
не нужно - uah => 0,usd=>0, eur=>0 
ангел - uah => 0,usd=>0, eur=>0 
гопнер - uah => 0,usd=>0, eur=>0 
кредит инна - uah => 0,usd=>0, eur=>0 
авалон - uah => 0,usd=>0, eur=>0 
павловский - uah => 0,usd=>0, eur=>0 
миша грн приходы  - uah => 0,usd=>0, eur=>0 
вторекс  - uah => 0,usd=>0, eur=>0 
боря фби приходы  - uah => 0,usd=>0, eur=>0 
беликов - uah => 0,usd=>0, eur=>0 
чип приходы  - uah => 0,usd=>0, eur=>0 
виталик приходы  - uah => 0,usd=>0, eur=>0 
сигма арест - uah => 0,usd=>0, eur=>0 
таня балатон - uah => 0,usd=>0, eur=>0 
вишня приходы  - uah => 0,usd=>0, eur=>0 
бат - uah => 0,usd=>0, eur=>0 
химинвест приходы  - uah => 0,usd=>0, eur=>0 
усат бензин приходы  - uah => 0,usd=>0, eur=>0 
куры - uah => 0,usd=>0, eur=>0 
таня ятус приходы  - uah => 0,usd=>0, eur=>0 
мисак схема приходы  - uah => 0,usd=>0, eur=>0 
гуфман % по банку - uah => 0,usd=>0, eur=>0 
света верона приходы - uah => 0,usd=>0, eur=>0 
лариса гбв приходы  - uah => 0,usd=>0, eur=>0 
строй приходы  - uah => 0,usd=>0, eur=>0 
бокс - uah => 0,usd=>0, eur=>0 
гена вена - uah => 0,usd=>0, eur=>0 
оодиссей - uah => 0,usd=>0, eur=>0 
мишалов приходы  - uah => 0,usd=>0, eur=>0 
1гена полт - uah => 0,usd=>0, eur=>0 
прк валюта - uah => 0,usd=>0, eur=>0 
трег кредит - uah => 0,usd=>0, eur=>0 
влад дск приходы  - uah => 0,usd=>0, eur=>0 
ника приходы  - uah => 0,usd=>0, eur=>0 
сендер приходы  - uah => 0,usd=>0, eur=>0 
Дилинг Сигма - uah => 0,usd=>0, eur=>0 
семья - uah => 0,usd=>0, eur=>0 
металлком приходы - uah => 0,usd=>0, eur=>0 
мечникова - uah => 0,usd=>0, eur=>0 
стас приходы  - uah => 0,usd=>0, eur=>0 
юг стекло приходы  - uah => 0,usd=>0, eur=>0 
гуфм симферополь - uah => 0,usd=>0, eur=>0 
